,channelId,pness,bias
0,UC--3c8RqSfAqYBdDjIG3UNA,0.5535037303389186,No-Label
1,UC--3ozenTzry39-xMqAPQlw,0.5195891710027536,No-Label
2,UC--3pN-wtQrC48GAK8wsBsg,0.3969626704574071,No-Label
3,UC--70ql_IxJmhmqXqrkJrWQ,0.6270850806856023,No-Label
4,UC--EwQJeJ6SKlJdswehQH4g,0.5212426357992063,No-Label
5,UC--MxpGXJ3LVD8KvlNzRlcA,0.48471376965109403,No-Label
6,UC--Wn0KWXRaChNrKChh9kYg,0.4437604516105493,No-Label
7,UC--b3Yvzx2lbbUNXgnBsxmw,0.6161640353464511,No-Label
8,UC--bRDxn5YWEiqs3p8zzvlw,0.6964292436205376,No-Label
9,UC--i2rV5NCxiEIPefr3l-zQ,0.5651820115894121,No-Label
10,UC--j-yuiKFQhNAUYLt3v4fA,0.4515523707932263,No-Label
11,UC--mrc1w6e_5vGk0erm7Gsg,0.3648701462428406,No-Label
12,UC-03SX--uqx6ME0XU4rqzOw,0.6170011997683154,No-Label
13,UC-07j8SBVA5mHbiNWe2-jcw,0.5859177470567012,No-Label
14,UC-0BMIN-fcsFA1DwkCXS8xw,0.383288770224026,No-Label
15,UC-0CzRZeML8zw4pFTVDq65Q,0.6256783334208039,No-Label
16,UC-0D1RlSzcvBoODCKSoLl2g,0.42163685722269967,No-Label
17,UC-0DisgeKVC4tXhidNjRTpg,0.506239415118176,No-Label
18,UC-0WjH-efG2qvNlZUBlX70Q,0.6192881437609222,No-Label
19,UC-0_aCN0_CSiJ6s7ryG2EtA,0.5688693506467347,No-Label
20,UC-0cdtgZF01T3N8drruyikg,0.42878821453076194,No-Label
21,UC-0oI_eptkww7xq37Mwu3Uw,0.49559258511876536,No-Label
22,UC-0oTYwPd8vhvaLVxPvOjlA,0.5800991219965889,No-Label
23,UC-0rc6xMif7jpVLW4Gl6xYw,0.5649239128461532,No-Label
24,UC-0td1u5jNbGmcjznCV9ZxA,0.5346732286636638,No-Label
25,UC-1-YBAzVW57Oy1HqbO3yYA,0.5421054685504552,No-Label
26,UC-1-zPmT368J8JRbsK_1keA,0.5552444152186647,No-Label
27,UC-10uJUkzxSXa9sEtV67YcA,0.4224100812533105,No-Label
28,UC-1L0rfUYY_gRmE8vIBIzJw,0.5954714395499243,No-Label
29,UC-1TUi3OPc2jSVWLNM2ARwg,0.5082582840361788,No-Label
30,UC-1ZY8bY46rX3ySgG3Qyn3g,0.5976193661006,No-Label
31,UC-1b52dI6MuR5BNLQj2FvFg,0.5422955383676268,No-Label
32,UC-1dnd5sdAQXHLCfDFTsFKg,0.6569916727867533,No-Label
33,UC-1eZ9zR6PhB2PMbmh1KT-Q,0.6393648541028991,No-Label
34,UC-1k7y80RAIK_JlXP8WlDDw,0.5471550011195322,No-Label
35,UC-1rx8j9Ggp8mp4uD0ZdEIA,0.6836353443259836,No-Label
36,UC-24483CtyVfhJ-XxRfPr8Q,0.7281366650673219,No-Label
37,UC-27McNXi7E4Z3H1kZnTjzg,0.5474796222491619,No-Label
38,UC-2D2k0lNJGbXLAWYoAnSog,0.6002948317817948,No-Label
39,UC-2JUs_G21BrJ0efehwGkUw,0.6268612045677401,No-Label
40,UC-2K3C7wjKtiJPjq7mL8YRw,0.5816257762467951,No-Label
41,UC-2KSeUU5SMCX6XLRD-AEvw,0.659282034871239,No-Label
42,UC-2MJlKSq9_pYk5-bdvMhnw,0.7986393575595232,No-Label
43,UC-2RdmOxUZLZFVPRe6oQ1oQ,0.4484032582367327,No-Label
44,UC-2X5dVZG9KkzzSeFA5rH0Q,0.35699456253183864,No-Label
45,UC-2XiVy5AbEn2TXf0f2APeQ,0.5980403349260616,No-Label
46,UC-2Y8dQb0S6DtpxNgAKoJKA,0.5680005491985303,No-Label
47,UC-2YHgc363EdcusLIBbgxzg,0.7649864138153765,No-Label
48,UC-2d2BrNN9AT3Xl8F6nd5-w,0.46011512950317907,No-Label
49,UC-2daqAolwaOiFiLdNz31Kg,0.5254661676915094,No-Label
50,UC-2pHPqu2a6x_0JvFFSZOWA,0.3490263671407593,No-Label
51,UC-2wnBgTMRwgwkAkHq4V2rg,0.5878089780808554,No-Label
52,UC-31-rclcsuDPqfwh-rENuw,0.677419723280872,No-Label
53,UC-3Hil-SglzWOnDMCM5D0LA,0.3150590886273636,No-Label
54,UC-3IqxFHkYMgvqJBTcdK8Sw,0.4944632830194047,No-Label
55,UC-3Oc4KY7pElZMbsWtm3X6A,0.48548640367218976,No-Label
56,UC-3SbfTPJsL8fJAPKiVqBLg,0.62764878393393,No-Label
57,UC-3TwXj20oJQNQcRs-6BLlw,0.635312488725027,No-Label
58,UC-3XJxY4sVdB_LG2idABvig,0.40381114451490885,No-Label
59,UC-3YVzX5LZ6QHFnv_CmAHAA,0.3905119760395635,No-Label
60,UC-3e3hAUhDV2lwcoQGD2grg,0.4444687507457832,No-Label
61,UC-3jIAlnQmbbVMV6gR7K8aQ,0.8549137899980404,No-Label
62,UC-3k0L1qlTg3jzJF_AvyYrA,0.5818772749982535,No-Label
63,UC-41daFrBBou8CAoaa7_6Ig,0.4582006602305567,No-Label
64,UC-45ZRAQV4HPV4Iwxr-spTg,0.46675951549572037,No-Label
65,UC-47YH1aM9E3905MjMg5OCQ,0.5269728312057809,No-Label
66,UC-47_UfWjes2kH69QF-ASJg,0.5571794003257114,No-Label
67,UC-4HMv1j00QTebcFg4mV2DQ,0.5239923194093591,No-Label
68,UC-4JcSzJarJ4pmYMiQTN3Vg,0.4661876965331313,No-Label
69,UC-4RfmtfwHJ3C3VwNSmZOLA,0.5624734914310434,No-Label
70,UC-4VKRQZfAKhC5Gp33Zjrgg,0.39756827200905603,No-Label
71,UC-4h1XQ47sf0vbFwJvuBhEA,0.7158090349670224,No-Label
72,UC-4hYrI_SF6WWwOLU6QO3hQ,0.5757140534882478,No-Label
73,UC-4mIX9ls8ROVk9ApfeYf5w,0.38301320397208966,No-Label
74,UC-4taNWPWCuWVSgh7ipApzw,0.49422061682920565,No-Label
75,UC-59s1w6gpuuv8Eu_kBb54A,0.38001273999792795,No-Label
76,UC-5Dn8-Nt42gSQVwtZw4e6A,0.7442341708770863,No-Label
77,UC-5GyZzyh85tKFM0PtbRqGQ,0.33998249831454624,No-Label
78,UC-5Kr2sFSJf8jGjyRJ-4H8Q,0.6262891193150555,No-Label
79,UC-5LNANFKTC1DOkuhbeq6OQ,0.6560331862269737,No-Label
80,UC-5PffJnOZrSLgV6Ur2UUfw,0.5433163195466494,No-Label
81,UC-5QQuejPrfzryw1NDsS6zg,0.5119663736938701,No-Label
82,UC-5QRw5w79UPMVa8qUCSVmQ,0.40573242033853096,No-Label
83,UC-5dIHmtQzHIdNCs7-bEdCA,0.7652289655718836,No-Label
84,UC-5eu2zKRPUOs2loMBYWskA,0.6102548553548233,No-Label
85,UC-5ew83BqWKKbIlXNNOMLBw,0.6074070801287992,No-Label
86,UC-5h2BFQIZYivmSV7TJf6LQ,0.48448497081492403,No-Label
87,UC-5kJkF1P3bW6-CkEVjAu_w,0.5244929678114104,No-Label
88,UC-69ubRH9FiX2f-8LVY6C5Q,0.5762394412726286,No-Label
89,UC-6OW5aJYBFM33zXQlBKPNA,0.6666960758994903,left
90,UC-6UGeav3H8WWcRK9k1LG2g,0.5378902158701124,No-Label
91,UC-6WUaQSC_AfKZrinPuhVFw,0.6301773427552767,No-Label
92,UC-6f2IRgTpWRbeLBh1tVRxQ,0.7675613126913631,No-Label
93,UC-6umqcTBkl9IH4Z8Z-O1jg,0.43875494756443784,No-Label
94,UC-701RNNHEXLtb7-Wy_K-eg,0.6665695091143502,No-Label
95,UC-71RgMcyS02ObeFXg81SAw,0.5120210479856762,No-Label
96,UC-73P87iZAfZ05it7mjgbLg,0.5636467477554201,No-Label
97,UC-7BJPPk_oQGTED1XQA_DTw,0.5939324935174707,No-Label
98,UC-7Bjhtjc8MwPhDFQECZO7Q,0.5287105108744741,No-Label
99,UC-7CORh9e1DwTSxQwFqjW8w,0.48385630883549924,No-Label
